所属模块,用例编号,用例标题,步骤,预期,用例类型,优先级,用例状态,前置条件
/系统后台管理(#78),xthtgl-001,会员管理界面测试,1. 点击系统后台管理下的会员管理按钮,1. 界面左边进入到会员管理界面,功能测试,3,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录"
/系统后台管理(#78),xthtgl-002,会员管理查询测试,"1.点击系统后台管理下的会员管理按钮
2. 在会员管理界面中在查询的输入框输入yang111
3.点击查询，观察结果",1.会查询出yang的账号信息,功能测试,3,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.账号信息中已有yang这个账号"
/系统后台管理(#78),xthtgl-003,查询没有的账号测试,"1.点击系统后台管理下的会员管理按钮
2. 在会员管理界面中在查询的输入框输入yang000
3.点击查询，观察结果",1.没有查询出任何信息,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录"
/系统后台管理(#78),xthtgl-004,查询输入框输入测试,"1.点击系统后台管理下的会员管理按钮
2. 在会员管理界面中在查询的输入框分别输入（1）我的（2）aad(3)###$(4)10000
3.点击查询按钮（第二步骤采用等价类的方法没输入一种数据类型就点击一次查询）",1.查询输入框可以正确输入所有的数据类型，输入为空时查询出所有的账号信息,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录"
/系统后台管理(#78),xthtgl-005,查询输入框长度测试,"1. 点击系统后台管理下的会员管理按钮
2. 在会员管理界面中在查询的输入框输入100个字符
3.点击查询",1.不会出现异常，但是没有这条数据,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录"
/系统后台管理(#78),xthtgl-006,编辑界面测试,"1.点击系统后台管理下的会员管理按钮
2. 在查询列表下面选择点击yang这个账号的编辑按钮
",1. 进入到账号的编辑界面,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.账号信息中已有yang这个账号"
/系统后台管理(#78),xthtgl-007,修改用户名测试,"1.点击系统后台管理下的会员管理按钮
2. 在查询列表下面选择点击yang这个账号的编辑按钮
3.清除用户名输入框中的信息后收入‘我的天啊’
4.点击提交
",1. 编辑界面中的用户名输入框是不可输入的，用户名不可修改,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.账号信息中已有yang这个账号"
/系统后台管理(#78),xthtgl-008,修改密码测试,"1.点击系统后台管理下的会员管理按钮
2. 在查询列表下面选择点击yang这个账号的编辑按钮
3.清除密码输入框后，输入新的数据信息‘123456’
4.点击提交
5.去前台使用新的密码进行登录
",1. 使用新的密码可以在前台进行登录,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.账号信息中已有yang这个账号"
/系统后台管理(#78),xthtgl-009,交易密码测试,"1.点击系统后台管理下的会员管理按钮
2. 在查询列表下面选择点击yang这个账号的编辑按钮
3.清除交易密码输入框后，输入新的数据信息‘123456’
3.点击提交
4.去前台投资以后使用新的密码进行支付
",1. 使用新的支付密码可以在前台进行支付,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.账号信息中已有yang这个账号"
/系统后台管理(#78),xthtgl-010,密保问题修改测试,"1.点击系统后台管理下的会员管理按钮
2. 在查询列表下面选择点击yang这个账号的编辑按钮
3.清除密保问题输入框后，输入新的数据信息‘大雄最好的朋友是谁’，清除密保答案中信息输入“胖虎”
3.点击提交后查看信息是否出现变更
",1. 编辑后信息发生了改变,功能测试,,正常,"1.登录http://192.168.1.199/admin888
2.输入账号admin 密码admin登录
3.账号信息中已有yang这个账号"
